sigla;nome_recebedor;cnpj_recebedor;endereco_recebedor;cidade_recebedor;uf_recebedor;cep_recebedor;pais_recebedor
CWB;CCM AGENCIA DE SERVICOS POSTAIS LTDA;72.040.637/0001-12;AV PRESIDENTE KENNEDY, 2831;CURITIBA;PR;80610-010;BRASIL
CGB;BRASIL POSTAL LTDA - ME;03.470.558/0001-29;AV FERNANDO CORREA DA COSTA, 3180;CUIABA;MT;78070-970;BRASIL
CGR;AGENCIA SOL NASCENTE LTDA EPP;02.388.919/0001-20;AVENIDA DAS BANDEIRAS,829;CAMPO GRANDE;MS;79080-001;BRASIL
FLN PRIME;BRUNO SANTIAGO DE MORAES SERVICOS DE ENTREGA RAPIDA;31.319.135/0001-48;AVENIDA PAULO ROBERTO VIDAL;PALHOCA;SC;88132-599;BRASIL
FLN;AMK CARVALHO BOCAIUVA LTDA;73.870.354/0001-60;RUA BOCAIUVA, 2045;FLORIANOPOLIS;SC;88017-959;BRASIL
GYN;ALFA ATIVIDADES POSTAIS LTDA;36.843.720/0001-66;AV ANHANGUERA, 3352;GOIANIA;GO;74643-010;BRASIL
MAO;B L SERVICOS POSTAIS LTDA;84.106.178/0001-01;AV PEDRO TEIXEIRA, 1000;MANAUS;AM;69040-000;BRASIL
POA;AGENCIA DE CORREIOS FRANQUEADA GLOBO ANDRADAS LTDA;05.438.697/0001-09;RUA DOS ANDRADAS;PORTO ALEGRE;RS;90020-010;BRASIL
POA PRIME;TRANSPORTES FAGUNDES;42.671.654/0001-97;RUA  DOROTI GLADIS MOTA, 63;PORTO ALEGRE;RS;94495-310;BRASIL
PVH;AGF SERVICOS POSTAIS LTDA;07.243.416/0001-80;AVENIDA AMAZONAS, 2806;PORTO VELHO;RO;76820-164;BRASIL
